# 球形星团 N=4096, Plummer-like 分布 (r<=2), M_total≈4101.6, 质心&总动量已归零
-0.16908971  1.26897296  0.60761662   -0.25816838 -0.14167275  0.07693232   1.25907
-1.63744496 -0.29615216 -0.53302919    0.16101825 -0.02432593 -0.24649004   1.11212
 0.26987979  1.34086026  1.37753839    0.20046005  0.21561262  0.04194004   0.91891
 1.65050846  0.66194222 -0.02379085   -0.22867338 -0.13211940 -0.14651409   1.26718
-1.74579377  0.09531340  0.67604641   -0.03083698  0.05264563 -0.29153889   0.83316
-0.15436864 -1.47076210 -0.78071360    0.22544419  0.16970186  0.09414876   1.18888
 0.15494083 -1.06182260  0.95215431   -0.05129903  0.04646920 -0.29002356   1.22396
-0.97789945  1.41114438 -0.14404488    0.10224090 -0.23574727 -0.14925016   0.91765
 0.23386015  0.37256770 -1.77413663   -0.26655307  0.14454886  0.02171520   0.84495
 0.51708588  1.53574828 -0.74472020   -0.29541267  0.07273044  0.00012880   1.15853
 0.89032169 -1.42992915  1.08997973    0.13392262 -0.01082288 -0.26338558   1.24992
 1.18585546 -0.53128569  0.74451426    0.21779998 -0.13699103  0.15051773   1.29453
 1.24733341 -0.74199453  0.36115650   -0.12511691 -0.27462222  0.00620591   1.01304
 0.95974201 -0.82324566  0.15656794   -0.01548049  0.22443956 -0.19612250   1.29508
-0.95885113  1.67198013 -0.09660044   -0.20625831  0.00032904 -0.21929403   1.25921
-0.55044583  0.80344513 -1.08559061    0.08406812  0.19276162  0.21478159   0.90808
-0.59392452  0.00667804 -1.55203736    0.03207373  0.22825614  0.19383110   0.71927
 0.30184419  0.26217487  1.91092480   -0.06332664  0.14312324  0.25959051   0.71710
-0.63588558 -0.26600065  1.11852537    0.00349023 -0.29351252  0.06423928   0.74284
 1.52185643  0.29738240  0.28983392    0.11873108  0.04643864 -0.26698900   0.92804
 1.22187109 -1.03211720  1.13367813    0.10772144 -0.21480813 -0.17429723   0.79546
 0.75176205 -0.60972649 -0.49322369    0.02487530 -0.29636920  0.03892927   1.13705
 0.42230626  0.52763825  1.87332369    0.10367647  0.19166444  0.20653525   1.06493
-1.34633205 -0.43284303 -1.33833328    0.21763431  0.12617334  0.16005568   0.98443
 0.27921307  1.30999064  1.41135460   -0.28641988 -0.02345213 -0.09689567   0.71433
-1.23525101 -1.04676495  0.02118142   -0.07151261 -0.27543910  0.10077096   0.71894
-0.08394304  1.41880910  0.45863260    0.29525255  0.01486449  0.00352837   1.17203
 0.21910299 -1.61765040 -1.07252300    0.25229289  0.11867550  0.10278088   1.29390
-0.27784594  0.93065519 -0.71398980    0.11001162  0.00405291 -0.27469092   1.29081
 1.17614045  1.03695504  0.36992963    0.20183930  0.05584042 -0.20799109   1.11092
-0.53211724  1.90527295 -0.03575180    0.13615707 -0.19650047  0.18050239   1.00631
-0.36900420  1.87611252  0.31808870   -0.26487978  0.09880423 -0.10861824   0.84723
-1.77806940  0.12992921 -0.64696014   -0.13332048  0.26900708 -0.02901494   1.21625
-0.30429130  0.98841600  0.87829594   -0.01344114  0.14815439 -0.25808294   0.75962
-0.60018545  0.52725456  0.51168852   -0.16439603  0.17408327 -0.18200195   1.22076
 0.58527332 -1.85416075  0.28159211   -0.02628416  0.18736665 -0.23064006   0.87456
-1.49480087  0.57329478 -0.46352962    0.04287071  0.15425078 -0.25030690   0.90401
-0.78545735 -0.37634885 -1.30246396    0.20394383 -0.19969017  0.08466691   1.14424
 0.69434401  1.09190349 -0.06163439   -0.26742858  0.12824824  0.06858667   1.14700
-0.47400763 -0.01523846  0.13309665   -0.17375826  0.24728818 -0.00966859   0.82370
 0.49923055  0.31557358 -0.72993875   -0.02733920  0.29778039 -0.02549934   0.89100
 1.36773667 -0.12208152  0.82644434   -0.07987242  0.16481504  0.24163696   1.13574
-0.52318676 -1.02955763  0.44686131   -0.30193403 -0.03801275  0.00660281   1.22261
 0.96401039  1.21688758  0.43805300   -0.04626849 -0.24313273  0.17331685   0.86848
 0.32967436 -0.61820236  1.20943663   -0.17054008  0.18797254  0.16708513   1.11020
-1.30835344 -0.64828838 -0.81645114    0.20692347 -0.05732346 -0.20248948   1.02834
 0.97055826 -1.45384479  0.39970933   -0.15621507  0.18604530 -0.17718066   0.83940
-0.63989799  0.51400987  1.16812724   -0.27909201  0.12037768 -0.00347458   0.88156
 1.24125408 -0.93471549 -1.13065139    0.16744185  0.16666656  0.18343423   0.98799
-1.00119112 -0.41354908 -1.48979989    0.05288969  0.11834709  0.27226484   1.13176
-0.66775484 -1.48653006 -0.16241416    0.16636054 -0.00978380  0.24909720   1.06793
-0.18364069  0.52923498 -1.10523582   -0.27800297 -0.11586662 -0.03870310   1.27941
 0.49191024  1.08908286  0.21697059   -0.14150414  0.07678392  0.25814997   1.14741
-0.79561904  0.46553790  0.62451047   -0.28202835 -0.04147496 -0.10317095   0.80737
 0.77170684  0.73868242  0.83967539   -0.11272603  0.25098385  0.12614608   0.99343
 1.52549086  0.85545356 -0.09253255    0.26750613  0.11816696 -0.04334779   0.90094
 1.33903895 -0.04755486 -0.24735397    0.18293453  0.02999287 -0.22979376   1.26289
-1.17821253 -1.44634901  0.14743423   -0.15115144 -0.05412193  0.25860296   1.14008
-0.41109143  1.32451205 -0.53072054   -0.17936062  0.19314427  0.15117516   1.04082
-0.02956034 -0.85017812  1.56882407   -0.18497178  0.23566588  0.04550846   1.29727
 1.52395448 -0.47373131 -0.53244950    0.15959793  0.11275748  0.22710264   0.88650
-0.33790802  0.16870716  0.35290062    0.18646886  0.22898112  0.03635768   0.80058
 0.52111139  0.00665074 -1.26574152   -0.16415320  0.21657439  0.13513093   1.07898
