# generated: model=plummer N=4096 seed=2026 G=1.0 Mtot=1.0 Rscale=2.0
-1.1675377592e+00 -1.6580912510e-01 -5.1704344052e-01    2.0707353397e-01 -2.6846208570e-02 -1.3274639500e-01    2.4414062500e-04
-2.4745681230e+00 -4.8899930263e-01  2.2184395377e+00   -7.7633317819e-02 -2.4454858436e-02  5.0496905470e-02    2.4414062500e-04
 1.0624807904e+00  2.1890562341e+00 -7.5300309688e-01    9.0426902507e-03 -3.1956543600e-02  2.5259176370e-02    2.4414062500e-04
 2.5691504453e-01  7.8625305091e-01  1.9588219465e+00    3.1348336134e-02  9.8166672826e-02  3.7885367991e-03    2.4414062500e-04
-1.3021059501e+00  1.1829015226e-01 -1.4448110693e+00    3.7289816931e-01  9.6763418706e-02 -2.5515161269e-01    2.4414062500e-04
 1.0239931196e+00 -3.6967729285e+00 -2.8627959416e+00    1.3204091843e-01  4.3914341588e-02 -1.7905570687e-01    2.4414062500e-04
 2.4999760830e-01 -7.2504866140e+00  2.1277443434e+00    2.0910156874e-01  5.5249371631e-02 -1.5623982653e-01    2.4414062500e-04
-3.8600001637e-01 -1.1423753480e+00 -3.5442380145e-01    7.6358647931e-02 -2.1853185253e-01 -5.1991005568e-01    2.4414062500e-04
 3.0023257732e+00  1.1587164470e+00  1.5566396964e+00   -1.8158503876e-02 -5.2552845843e-02  1.0650434491e-02    2.4414062500e-04
-1.6692167783e+00 -2.4357193291e-01  3.9671412190e-01    1.8949980653e-01  3.3138434039e-01  2.4781168705e-01    2.4414062500e-04
-3.5016912530e+00  1.0998723200e+01  6.7195796385e+00   -3.1306090237e-02  1.8481907434e-01 -1.0714712093e-02    2.4414062500e-04
-2.4200400599e+00  4.3913810192e+00  6.7462106673e+00    5.7796738723e-02 -4.4239379787e-03 -6.2924388892e-02    2.4414062500e-04
 1.7057820254e+00  1.4872937861e+00 -2.5537270695e+00    3.8785427748e-01  1.8543269736e-02 -2.1353472185e-01    2.4414062500e-04
 7.2459827018e-01  1.2532397693e+00 -4.1400151395e+00   -2.5861631602e-02 -1.7010170526e-01  3.3279915426e-02    2.4414062500e-04
-5.7213887611e-01 -1.1535976617e+00  2.3229008794e+00    5.0358742008e-02 -1.2280295610e-01  4.8551247971e-01    2.4414062500e-04
-5.2485328643e+00  1.1744033386e+00 -2.1254966216e-01   -1.0269601856e-01  1.3665402748e-01  6.2369879203e-02    2.4414062500e-04
 1.2773391829e+00 -3.3336100005e-02 -2.0109372316e+00    2.3999256651e-01 -2.3998441962e-01 -2.2509121950e-01    2.4414062500e-04
 2.9400904272e-01  1.9602236733e+00  4.7818284215e-01   -1.0541233355e-01  2.8231220487e-01 -2.5042046546e-01    2.4414062500e-04
 7.4187857388e-01 -9.6677850423e-01  1.2100559797e+00   -8.6464482917e-02  3.1687353334e-01  1.4839898735e-01    2.4414062500e-04
 1.3801568502e+00 -3.7859131403e-02  8.0310402601e-01    3.4690428683e-01 -2.5201933780e-01 -5.1926242068e-01    2.4414062500e-04
 2.3666166687e+00  2.2054002938e-03 -1.4350214879e+00    3.0707909180e-02 -7.3044248321e-02  1.4581021162e-01    2.4414062500e-04
 1.9575590437e+00 -4.7063057149e-01  1.2106829351e+00   -7.0416924108e-02  1.3151138291e-01 -1.5259739433e-02    2.4414062500e-04
-6.4005028900e-01 -3.2542698290e+00 -1.0088522548e+00    1.1929512651e-01 -2.3447868422e-01 -4.5374389676e-01    2.4414062500e-04
 1.8273294213e-01 -1.7923876027e-01  4.1241442637e-01    1.6787527905e-01 -4.9654160883e-02 -4.4634698529e-02    2.4414062500e-04
-2.1021059653e+00 -8.6544854775e-01  3.0724890894e-01    4.7057674966e-01  2.2439401025e-01  1.2337577990e-03    2.4414062500e-04
 5.1400373205e-01  2.0362351193e+00  4.2230336120e-01   -2.9072247321e-01  5.1784368270e-01  2.1808025118e-01    2.4414062500e-04
 1.3460127612e+00 -2.9830218433e-01  5.0394586889e-01   -1.0719928759e-01  5.6962218187e-02  3.0533323445e-01    2.4414062500e-04
-1.4711905707e+00  2.7507725621e+00 -4.3138927276e-01    2.8317006617e-01  1.3371014736e-01  2.0760259285e-02    2.4414062500e-04
-6.7257014754e-01  6.7460083746e-02 -2.1774088279e+00    1.1901970649e-01 -5.9427926034e-02  9.5062645315e-02    2.4414062500e-04
-3.4761809433e-01 -1.6421353158e+00 -2.9959089705e-01   -8.7444300819e-02  1.7140848725e-01  1.7000740210e-01    2.4414062500e-04
-7.6628743690e-02  1.3144653710e+00 -7.7471310858e-01   -2.4634222276e-01  3.3753315330e-01 -3.0143774749e-01    2.4414062500e-04
-5.8722907195e+00 -1.1452998413e-01 -2.7307144425e+00   -2.2441592033e-04 -6.0390132415e-02  4.5557426702e-02    2.4414062500e-04
-2.2470648519e+00  4.4290698976e+00 -5.7164941179e-01    2.4096190549e-01 -9.9642280276e-02 -4.7945172211e-02    2.4414062500e-04
 3.0244992668e+00 -2.8689612902e-01 -1.0588391282e+00   -2.9707460010e-02 -1.2173144467e-01 -7.6594219566e-02    2.4414062500e-04
-3.6634516063e-01 -1.3343486468e+00  1.3260929474e+00    6.1454579368e-02  1.5283371476e-01 -2.1505548627e-01    2.4414062500e-04
-5.4204049056e+00  4.6127882982e-01  8.8400915587e+00   -1.3234260174e-01 -3.3223333846e-02 -1.0822726191e-01    2.4414062500e-04
-3.6522793640e-01  1.0768813643e+00 -2.6953285058e+00    2.7082379146e-03  1.3738036631e-01 -4.2164232438e-01    2.4414062500e-04
 1.1823609152e+00  2.0919543103e+00 -1.9318696700e-01    5.7791306022e-02  9.2339333527e-03  3.3577128788e-02    2.4414062500e-04
-3.4582923466e+00  6.3303237475e-01  6.5529717818e+00   -2.9252515526e-02 -6.7319153871e-02  5.1174974411e-02    2.4414062500e-04
-1.2476936476e-01  1.7108093087e+00 -8.7992775955e-01   -9.3388443037e-03  6.0534538555e-01  2.1197245344e-01    2.4414062500e-04
-4.0594423130e-01  3.7276947035e+00  1.0944715636e+00    2.5424304282e-01 -5.0786289816e-02 -2.4744190906e-02    2.4414062500e-04
-3.5356310025e-01  1.8893331012e+00  3.1043308886e-02    6.6668664066e-01  3.2082124530e-02  1.6030036141e-01    2.4414062500e-04
 3.7839374591e-01 -3.3089305664e-01 -1.5512115615e+00    1.9448942434e-01  2.9450365011e-01  5.6698090890e-02    2.4414062500e-04
 7.0921980403e-01  3.8873071052e+00 -2.1938140100e-01   -3.4864142546e-02 -1.0325523248e-01  1.9337480653e-01    2.4414062500e-04
 1.3388404583e+00 -7.4170298433e-01  2.7294625977e-01   -2.2876425450e-01  1.3608124857e-01  3.1490315520e-02    2.4414062500e-04
 2.0514137786e+00  1.6617025554e+00 -3.9285551226e-01    6.1091358059e-02  6.6960100888e-05 -2.0740382731e-01    2.4414062500e-04
-2.6514001401e+00 -8.2872088530e-02  1.3576182810e+00   -1.9891312612e-02 -2.0342171526e-02  7.0165426191e-02    2.4414062500e-04
 6.6287459242e-01  1.5717201201e-02  1.2901722441e+00    2.3896668962e-02  1.6760823926e-01 -2.1115552237e-01    2.4414062500e-04
-2.0570529846e+00  1.0050322945e+00  3.4797537034e+00    1.5506379424e-01  1.1283063952e-01 -3.3349785300e-01    2.4414062500e-04
 1.6754251757e+00  2.0954962301e+00 -1.1791133813e+00    2.5224780825e-01 -3.6781903848e-01 -4.8100278177e-01    2.4414062500e-04
-1.2292246325e+00  7.4696431920e-01  2.9645214387e+00   -4.8007186737e-02 -8.4950389867e-02  1.6584148685e-01    2.4414062500e-04
-1.6012520261e+00  5.5310205505e-01 -1.1181457945e+00   -3.0168248133e-02 -2.7269162223e-01  7.5232979102e-02    2.4414062500e-04
-3.8799181918e-02 -1.9998323538e+00  9.0212937705e-01    3.5958161102e-01  2.2467867956e-01  1.4690470927e-01    2.4414062500e-04
-2.0742172977e+00  5.5945629271e-01 -1.3541437598e+00   -1.7324365225e-01 -2.5783129667e-01  1.7526147048e-01    2.4414062500e-04
-1.7726835422e+00  1.5500978017e+00  8.0862793367e-01    2.8463575341e-02  1.0427395006e-01  6.1180749673e-02    2.4414062500e-04
-1.6146575564e+00 -3.1588079528e+00  3.1427135438e-01    1.5581968733e-01  3.2837075348e-01  9.2337000751e-03    2.4414062500e-04
 3.4232929832e-01 -1.8285494768e+00  2.3310582025e+00    5.5396187649e-02 -6.5176851755e-02  4.5559621826e-02    2.4414062500e-04
 1.0841107200e+00 -1.6200361247e+00  1.0703986208e+00    2.2448098023e-02 -1.1474440403e-01  2.8489609438e-01    2.4414062500e-04
