# generated: model=plummer N=65536 seed=2026 G=1.0 Mtot=10.0 Rscale=2.0
-1.1204369331e+00 -5.8690675527e-01 -5.3141289675e-01    3.7484909197e-02  5.1636005870e-01  2.0147600149e-01    1.5258789062e-04
-4.4498993371e-01  2.8258566633e+00  1.8355730806e+00    1.1571712586e+00  1.4046305203e+00 -3.9110706777e-02    1.5258789062e-04
-2.3944087713e+00  2.1784623427e-01  5.5886763814e-01   -8.7899459910e-01 -5.0622850204e-01  2.0260919888e-01    1.5258789062e-04
-1.4458323059e+00 -9.1348153880e-01  1.1572126211e+00    1.1935117166e+00  1.8288510036e-01 -2.1547674497e-02    1.5258789062e-04
 1.7780677132e+00  9.0625626607e-01 -1.2678940839e-01    6.9680557980e-01  6.0865259879e-01  4.2115395380e-01    1.5258789062e-04
 3.0539085933e+00 -9.4019447120e-01  3.6406438595e+00    1.3947618811e+00 -8.3454938315e-01  1.9335007859e-01    1.5258789062e-04
-3.9883033538e+00 -5.4218304807e+00 -3.6036487672e+00   -7.3080733391e-01 -3.6538791319e-01  2.3465069574e-01    1.5258789062e-04
-2.0251549455e-02  4.4958418574e-01  1.2771248357e+00   -1.9933056312e-01  8.6517343890e-01 -1.7184958157e-02    1.5258789062e-04
-6.2150429418e-01 -1.6062480477e+00  3.0252331174e+00   -1.8110470583e-01  7.0387740435e-02  2.4159173622e-02    1.5258789062e-04
-9.1618392557e-01  1.4909125539e+00 -4.4895034092e-01   -1.7157847248e+00  4.0540282427e-01 -4.3400646499e-01    1.5258789062e-04
 9.1697841544e+00 -9.1046993987e+00 -3.0656165734e+00    1.4844961661e-01  6.2856854773e-01 -4.8205745428e-01    1.5258789062e-04
-4.8999708011e+00 -7.3931427988e-01  6.7287427872e+00   -2.9166104203e-01  6.1666268218e-02  4.5110204305e-02    1.5258789062e-04
 1.9445591217e+00  1.2065066326e+00  2.4618567526e+00   -1.3567934800e+00 -3.9447110450e-01  3.0285996551e-03    1.5258789062e-04
-3.6225585495e+00  1.3757236668e+00  2.0554384659e+00    1.1319033367e+00  2.7834724500e-01  6.4312292320e-01    1.5258789062e-04
-1.1863674280e+00  1.9571101278e+00 -1.4194564797e+00    1.1439068913e+00 -1.1937357321e-01  3.1987766304e-01    1.5258789062e-04
-1.8028147495e+00  5.0411353201e+00 -9.1771789376e-01   -5.7532138039e-01 -1.6523147164e-01 -1.0496250768e+00    1.5258789062e-04
-1.5872389223e+00 -9.9140307395e-01 -1.4809013495e+00   -6.5408845979e-01 -1.0330620585e+00 -2.9754377452e-01    1.5258789062e-04
 1.2573152103e-01 -3.8251374900e-01 -1.9073711539e+00   -2.9490125278e-01  4.5806623408e-01 -4.9637346593e-01    1.5258789062e-04
 1.2346378806e+00  1.1718890840e+00 -2.4839492828e-01    1.1754067141e+00 -1.5807556725e-01 -1.1784570569e+00    1.5258789062e-04
 4.2575067641e-01 -1.3462688934e+00 -5.9614892319e-01   -7.4107126841e-02 -4.9171965705e-01  5.3633141090e-01    1.5258789062e-04
 2.7085719807e+00 -2.5225936879e-01 -1.6229193806e-01    1.2078165604e-01 -9.0403498146e-02 -6.4691269028e-01    1.5258789062e-04
-6.3065263347e-01  1.1160077963e+00 -1.9281118105e+00   -9.8206231806e-02  1.7615564430e+00 -3.0498519706e-02    1.5258789062e-04
 1.8331771795e+00 -1.9981472825e+00  2.2941939595e+00    1.3575101765e-01  3.2041929437e-01 -4.7349660146e-01    1.5258789062e-04
-4.5032941922e-02 -4.6103189085e-01  1.0958057606e-01   -1.2620840149e+00 -4.7556400810e-01 -4.2276501795e-01    1.5258789062e-04
 5.8823608267e-02 -3.4259744807e-01  2.3427115361e+00   -4.1257223021e-01  1.1010982471e-01 -2.8665550595e-01    1.5258789062e-04
-5.6303134728e-01 -1.7114110665e+00  9.5535446497e-01   -5.1890216398e-01  6.1987539362e-01 -1.2433546979e+00    1.5258789062e-04
-2.8933001274e-01 -1.3191403902e+00  4.3909472334e-01   -1.1523570383e-01 -2.1806913632e-01  2.8853573409e-01    1.5258789062e-04
 8.2147202176e-01  9.5696146372e-01  2.8344933291e+00    5.6705853075e-01 -1.4673885707e+00  2.2984667876e-01    1.5258789062e-04
-1.1304330796e+00  1.2225162960e+00 -1.6369947189e+00    6.2327632248e-01 -2.9844775454e-01  7.8478611763e-01    1.5258789062e-04
-6.8390568778e-01  1.0739114293e+00 -1.2911392671e+00    7.3839891826e-01  9.1415448144e-01 -1.0127803156e+00    1.5258789062e-04
